ID_Galaxia,cig,ANG_SIZE_MAJ_log,ANG_SIZE_MAJ_original
306,306,0.69,4.897788193684462
307,307,0.54,3.4673685045253166
308,308,0.53,3.3884415613920256
309,309,4.25,17782.794100389227
310,310,0.89,7.762471166286917
311,311,0.57,3.715352290971725
312,312,1.15,14.12537544622754
313,313,0.7,5.011872336272722
314,314,2.14,138.03842646028852
315,315,0.89,7.762471166286917
316,316,0.9,7.943282347242816
317,317,1.36,22.908676527677734
318,318,0.51,3.2359365692962827
319,319,1.93,85.11380382023764
320,320,0.62,4.168693834703354
321,321,0.48,3.019951720402016
322,322,0.63,4.265795188015927
323,323,1.06,11.481536214968829
324,324,6.9,7943282.347242822
325,325,0.84,6.918309709189364
326,326,1.02,10.471285480508996
327,327,0.76,5.7543993733715695
328,328,0.79,6.165950018614822
329,329,2.64,436.5158322401661
330,330,0.73,5.370317963702527
331,331,1.19,15.488166189124811
332,332,0.92,8.31763771102671
333,333,0.83,6.760829753919817
334,334,1.01,10.232929922807541
335,335,2.44,275.4228703338166
336,336,1.08,12.02264434617413
337,337,0.8,6.309573444801933
338,338,0.96,9.120108393559097
339,339,1.36,22.908676527677734
340,340,1.84,69.18309709189366
341,341,0.18,1.5135612484362082
342,342,0.77,5.88843655355589
343,343,0.99,9.772372209558107
344,344,1.29,19.498445997580454
345,345,0.85,7.079457843841379
346,346,0.95,8.912509381337454
347,347,11.94,870963589956.0796
348,348,0.48,3.019951720402016
349,349,1.08,12.02264434617413
350,350,1.14,13.803842646028846
351,351,0.92,8.31763771102671
352,352,0.74,5.495408738576246
353,353,0.61,4.073802778041127
354,354,0.74,5.495408738576246
355,355,1.07,11.748975549395297
356,356,0.57,3.715352290971725
357,357,0.85,7.079457843841379
358,358,1.43,26.915348039269155
359,359,1.11,12.882495516931343
360,360,0.38,2.3988329190194904
361,361,1.59,38.90451449942807
362,362,1.02,10.471285480508996
363,363,2.08,120.22644346174131
364,364,0.77,5.88843655355589
365,365,0.72,5.248074602497725
366,366,1.02,10.471285480508996
367,367,0.89,7.762471166286917
368,368,0.72,5.248074602497725
369,369,0.77,5.88843655355589
370,370,0.51,3.2359365692962827
371,371,1.81,64.56542290346556
372,372,0.81,6.456542290346556
373,373,0.64,4.36515832240166
374,374,1.33,21.379620895022324
375,375,0.48,3.019951720402016
376,376,1.2,15.848931924611133
377,377,2.22,165.95869074375614
378,378,0.79,6.165950018614822
379,379,0.58,3.8018939632056115
380,380,0.45,2.8183829312644537
381,381,0.44,2.7542287033381663
382,382,1.58,38.018939632056124
