284,405,29824, SAB(s)c                                                                                              , S_AB(s)c                                                                            ,SAB,SAB
285,406,29847, SA(rs)b pec                                                                                          , SA(s)b pec                                                                                           ,SA,SA
286,408,30306, (R')SA(s)c pec                                                                             , (R')SA(s)c                                                                                 ,SA,SA
287,409,30341, SB(rs)cd                                                                                             , SB(r_s)d                                                                            ,SB,SB
288,410,30363, S_AB(s)c pec                                                                        , SAB(s)c pec                                                                                          ,SAB,SAB
289,411,30470, SAB(_rs)ab: sp                                                                      , SAB(_rs)0/a                                                                         ,SAB,SAB
290,412,30540, E0-1                                                                                                 , E1                                                                                                   ,E,E
291,413,30523, (RL)SA(l)0^o                                                                                       , (RL)S_AB_a(l)0^+                                                                ,SA,"SAB_(x,a)"
292,414,30530, S_AB(s)c pec                                                                        , SAB(s)d (cc)                                                                                         ,SAB,SAB
293,415,30596, E3                                                                                                   , E2-3                                                                                                 ,E,E
294,416,30604, SAc sp pec                                                                                           , Sdm sp                                                                                               ,SA,S
295,417,30701, SA(s)ab:                                                                                             , SA(s)ab                                                                                              ,SA,SA
296,418,30797, SA(s)d                                                                                               , SA(s)d                                                                                               ,SA,SA
297,419,30806, SAB(r_s)b pec                                                                       , SAB(rs)ab                                                                                            ,SAB,SAB
298,420,30898, SB_xa0^+ sp                                                                                    , SB_x0^+ sp                                                                                       ,"SAB_(x,a)","SAB_(x,a)"
299,423,31059," (R')SA(rs,r)bc                                                                             "," (R')SA(rs,r)bc                                                                             ",SA,SA
