"321","454","33233","3.5","9",,"SA","(r,nl)","_bc",,,
"322","456","33353","2","8","(RP)","SA","(rs)","ab",,,
"323","457","33388","6","7","(RP)","SA_B","(s)","cd",,,
"324","458","33389","4","9",,"SA","(s)","bc",,,
"325","459","33480","7","3",,"SAB","(s)","d",,,
"326","460","33490","6","6:",,"SAB","(r_s)","cd",,,
"327","462","33570","0","99",,"SA","(rl:)","0/a:",,"pec",
"328","463","33633","7","1","(RP)","SA","(s)","d",,,
"329","466","33794","7","5","(RP)","SAB","(r_s,rs)","d",,,
"330","467","33806","-1","99","(RL)","SB","(rs,bl)","0^+",,,
"331","468","33938","-1","99","(RL)","SA","(r)","0^+",,"pec",
"332","471","34271","2.5","99",,"SA","(r)","a_b",,,
"333","473","34368","6","5",,"SAB","(s)","cd",,,
"334","474","34373","7.5","4","(RP)","SB","(rs)","_dm",,,
"335","475","34533","3","12:","(RP)","SA","(_rpl)","b",,,
"336","476","34864","5.5","2",,"SA","(s:)","_cd","sp",,
"337","478","35185","4","12",,"SAB","(r_s)","bc",,,
"338","479","35215","8","4",,"SB","(s)","dm",,,
"339","480","35216","-1","99",,"SA_x","(r)","0^+","sp",,
"340","481","35266","1","99",,"SA","(l,rs)","a",,"pec","/ E-S0 pec"
"341","482","35272","5","5",,"SAB","(s)","c",,"pec",
"342","483","35545","0.5","99","(RP)","SAB","(s)","0/_a",,,
"343","484","35608","5","9:",,"S_AB","(s)","c",,"pec",
"344","485","35648","-1.5","99","(R)","SA","(l)","0^o+:",,,
"345","487","35802","7.5","99",,"SB","(s)","_dm","sp","pec",
"346","488","35835","1","99",,"SA",,"a",,"pec",
"347","489","35839","5","1",,"SA","(r_s:)","c",,"pec",
"348","490","35925","0","99",,"SA","(s:)","0/a",,"pec",
"349","491","36061","4.5","6:",,"SA","(_rpl)","b_c",,,
"350","492","36102","3","99",,"S",,"b","spw",,
"351","493","36163","4.5","12",,"SA","(_rpl)","b_c",,"pec",
"352","494","36226","6.5","5",,"SA_B","(s)","c_d",,,
"353","495","36247","-0.5","99","(R1)","SA","(r)","_0/a",,,
"354","497","36440","3.5","6","(RP)","SA","(s)","_bc",,,
"355","498","36555","1","99",,"S",,"a","sp","pec","/ E(d)3"
"356","499","36800","3.5","9",,"SA_B","(rs,bl)","_bc",,,
"357","500","36824","2","6","(RP)","SB","(p,r,bl)","ab",,,
"358","501","36873","1","99","(RP)","SA","(rpl)","a",,,
"359","502","36887","5","7:","(RP)","SA","(rs:,nl)","c",,"pec",
"360","504","37106","99","99",,"S",,"c?",,,
"361","505","37147","6","7:",,"SA","(rs)","cd:",,,
"362","507","37214","6.5","9:","(RP)","SAB","(s)","c_d",,,
"363","508","37222","5","5",,"SB","(s)","c",,"pec",
"364","509","37352","5.5","3",,"SA","(s:)","_cd",,,
"365","510","37374","6","2",,"SAB","(s)","cd",,"pec",
"366","512","37444","6","5",,"SB","(s)","cd",,,
"367","513","37468","-4.5","99",,,,"E/E^+1-2",,,
"368","514","37651","1","8","(RP)","SB","(rs)","a",,,
"369","515","37696","5","3",,"SA","(s)","c",,,
"370","516","37761","5","9",,"SA","(s)","c","sp",,
"371","517","38043","-5","99",,,,"E3",,,
"372","519","38458","4","7:",,"SA","(rs)","bc",,,
"373","520","38665","3.5","9",,"SA","(r_s)","_bc",,,
"374","521","38804","-3","99",,"SA:",,"0^-","sp","pec","/ E5-6"
"375","522","39222","1","12",,"SAB","(s)","a",,,
"376","525","39964","3","12","(R2P)","SB","(p,_rs,bl)","b",,,
"377","526","40152","3.5","9",,"SA","(rs)","_bc",,"pec",
"378","527","40284","5","3:","(RP)","SA","(s:)","c","sp",,
"379","528","40296","3","9",,"SA","(rs)","b",,,
"380","529","40450","-1.5","99","(RL)","SA","(r:)","0^o+",,,"/ E2"
"381","532","41459","6","9",,"SB","(rs)","cd",,"pec",
"382","533","41483","-5","99",,,,"E3",,,
"383","537","41891","1.5","99","(R1_L)","S_AB","(rs)","_ab",,"pec",
"384","539","42007","1.5","8","(RPL)","SB","(_rs,s,bl)","_ab",,,
"385","540","42195","9.5","99",,"S/IA_B","(s)","m",,,
"386","541","42200","6","9",,"SAB","(rs)","cd",,,
"387","542","42394","6","5","(RP)","SAB","(rs)","cd:",,"pec","(cc)"
"388","544","42557","2","8","(R1P)","SAB","(p,rs,bl)","ab",,,
"389","545","42530","4","7",,"SA","(s)","bc","sp",,
"390","546","42561","3","9",,"SA","(s)","b",,,
"391","548","42743","1.5","8","(R1P)","SB_a","(rs,bl)","_ab",,,
"392","550","42904","3.5","9",,"SB","(rs,bl)","_bc",,,
"393","551","43052","6","3","(RP)","SA_B","(s)","cd","sp",,
"394","552","43352","5","3?",,"SA",,"c:","sp","pec",
"395","553","43428","2.5","12","(RP)","SB","(p,r,bl)","a_b",,,
"396","554","43718","1","8","(RP)","SAB_a","(rpl,bl)","a",,,
"397","557","44018","-4","99",,,,"E^+2-3",,,
"398","558","44075","5.5","9",,"SA","(rl)","_cd",,,
"399","560","44205","7.5","4:","(R1P)","SB","(s)","_dm",,,"(cc)"
"400","561","44362","3.5","9","(RP)","SA","(s)","_bc",,,
"401","563","44642","3.5","4",,"SA","(s)","_bc",,"pec",
"402","565","45122","2.5","5","(RP)","SA","(r)","a_b",,,
"403","566","45137","6.5","99",,"S",,"c_d:","spw","pec",
"404","567","45135","3","9",,"SB_a","(rs,bl)","b",,,
"405","568","45168","4","5",,"SA","(r_s)","bc",,,
"406","570","45207","-2.5","99","(L)","SB",,"0^-o",,,
"407","571","45278","5","3",,"SA","(s)","c",,"pec",
"408","572","45521","1","99","(RP)","SA_B","(r,bl)","a",,,
"409","575","45836","5.5","7:",,"S_AB","(r_s)","_cd",,,
"410","576","45959","4.5","9:","(RP)","SA:","(s:)","b_c:","sp",,
"411","578","46181","-5","99",,,,"E1",,,
"412","579","46229","2.5","8","(R1R2P)","SA","(l)","a_b",,,
"413","580","46406","3.5","6","(RP)","SA","(r_s)","_bc",,,
"414","581","46427","3","9",,"SA_x","(r)","b",,,
"415","582","46772","-5","99",,,,"E",,"pec","(dust lane)"
"416","583","47000","4.5","9",,"SA","(rs)","b_c",,,
"417","585","47136","8","99",,"S",,"dm","sp",,"/ E(d)7-8"
"418","586","47253","-1.5","99","(L)","SAB_a","(s,bl)","0^o+",,,
"419","587","47409","3.5","6",,"SB_a","(_rs,bl)","_bc",,"pec",
"420","589","47470","1.5","99","(RP)","SA","(rl)","_ab",,"pec",
"421","591","47597","0.5","99","(L)","SA","(rs)","0/_a",,,
"422","592","47625","1","8","(R1P)","SAB_a","(l)","a",,,
"423","593","48044","3","12:",,"SB_x","(s)","b:","sp",,
"424","594","48076","5","9",,"SA","(s)","c",,"pec",
"425","595","48277","-5","99",,,,"E4-5",,,
"426","596","48229","-1","99","(R1)","SA_B","(r)","0^+",,,
"427","598","48831","4","9",,"SA","(s)","bc",,,
"428","599","48982","-3","99",,"SA",,"0^-",,,
"429","600","49058","6","3","(RP)","SA","(s)","cd",,,"(cc)"
"430","601","49167","3.5","5",,"SAB_a","(r,bl)","_bc",,"pec",
"431","602","49344","0.5","99","(RP)","SA","(_rpl)","0/_a",,"pec",
"432","603","49435","4.5","9",,"SB","(_rs,bl)","b_c",,"pec",
"433","604","49563","1","99","(R1P)","SAB_xa","(rpl)","a",,,
"434","605","49604","3","9","(R1PR2P)","SB_a","(p,p,rs,bl)","b",,,
"435","606","49812","4","12",,"SA","(s)","bc",,,
"436","607","49867","3","9",,"SA","(s)","b",,,
"437","608","49986","4","12",,"SA","(r)","bc",,,
"438","609","49965","0.5","99",,"SA","(r)","0_a",,"pec","[c]"
